CustomerID,TotalOrders,TotalRevenue,average_order_value,CLV
12346.0,1,77183.6,77183.6,327696.460899654
12347.0,7,4310.0,615.7142857142857,2614.1225902125557
12348.0,4,1437.24,359.31,1525.5133910034604
12349.0,1,1457.55,1457.55,6188.28321799308
12350.0,1,294.4,294.4,1249.926643598616
12352.0,7,1385.74,197.96285714285713,840.4859021255561
12353.0,1,89.0,89.0,377.86505190311425
12354.0,1,1079.4,1079.4,4582.781314878894
12355.0,1,459.4,459.4,1950.4629757785467
12356.0,3,2487.43,829.1433333333333,3520.2729065743947
12357.0,1,6207.67,6207.67,26355.74771626298
12358.0,2,928.0600000000001,464.03000000000003,1970.12044982699
12359.0,4,6310.03,1577.5075,6697.583745674741
12360.0,3,2302.06,767.3533333333334,3257.932664359862
12361.0,1,174.9,174.9,742.5685121107267
12362.0,10,4737.23,473.72299999999996,2011.273775086505
12363.0,2,552.0,276.0,1171.8062283737027
12364.0,4,1208.1,302.025,1282.2999134948097
12365.0,1,320.69,320.69,1361.5454325259516
12367.0,1,150.9,150.9,640.6723183391005
12370.0,4,3421.94,855.485,3632.111055363322
12371.0,1,1527.96,1527.96,6487.221176470589
12372.0,3,1196.04,398.68,1692.6656055363324
12373.0,1,324.6,324.6,1378.1460207612458
12374.0,1,622.93,622.93,2644.7581660899655
12375.0,2,377.5,188.75,801.3711072664361
12377.0,2,1548.12,774.06,3286.4069896193773
12378.0,1,4008.62,4008.62,17019.29667820069
12379.0,2,777.24,388.62,1649.954117647059
12380.0,4,2427.81,606.9525,2576.9228979238756
12381.0,3,1474.81,491.6033333333333,2087.1878546712805
12383.0,5,1628.56,325.712,1382.8672110726645
12384.0,2,425.27,212.635,902.7790484429066
12386.0,2,401.9,200.95,853.1683391003461
12388.0,6,2780.66,463.4433333333333,1967.629653979239
12390.0,1,504.84,504.84,2143.386435986159
12391.0,1,439.66,439.66,1866.6533564013844
12393.0,4,1582.6,395.65,1679.8012110726645
12394.0,2,1080.48,540.24,2293.683321799308
12395.0,12,2682.63,223.5525,949.1312024221455
12397.0,2,2214.9,1107.45,4701.872491349482
12398.0,1,1435.66,1435.66,6095.345397923877
12399.0,4,1033.65,258.4125,1097.1354238754327
12401.0,1,69.3,69.3,294.22525951557094
12402.0,1,195.6,195.6,830.4539792387544
12403.0,1,391.7,391.7,1663.030795847751
12405.0,1,1390.3899999999999,1390.3899999999999,5903.143702422145
12406.0,2,3415.2999999999997,1707.6499999999999,7250.126470588236
12407.0,5,1507.12,301.424,1279.7482629757785
12408.0,5,2618.55,523.71,2223.502318339101
12409.0,3,11072.67,3690.89,15670.318442906575
12410.0,2,533.33,266.665,1132.1728546712804
12412.0,3,1142.8799999999999,380.96,1617.4322491349483
12413.0,3,686.1,228.70000000000002,970.9858131487891
12414.0,3,442.41,147.47,626.1096539792388
12415.0,20,124564.53,6228.2265,26443.023929065745
12417.0,9,3226.1,358.4555555555555,1521.8856978085353
12418.0,1,668.58,668.58,2838.57321799308
12420.0,1,600.39,600.39,2549.0606574394465
12421.0,4,639.04,159.76,678.2889965397924
12422.0,3,683.56,227.85333333333332,967.3911418685121
12423.0,8,1634.31,204.28875,867.3435856401385
12424.0,2,1760.96,880.48,3738.2316955017304
12425.0,1,777.2,777.2,3299.738408304499
12426.0,1,510.73,510.73,2168.393460207613
12427.0,3,699.8000000000001,233.26666666666668,990.374394463668
12428.0,8,6405.26,800.6575,3399.331323529412
12429.0,4,3388.4,847.1,3596.51107266436
12430.0,1,216.4,216.4,918.7640138408306
12431.0,15,6314.95,420.99666666666667,1787.41491349481
12432.0,4,4359.32,1089.83,4627.063702422145
12433.0,7,13375.87,1910.8385714285716,8112.799055857638
12434.0,2,806.14,403.07,1711.304117647059
12435.0,2,7829.889999999999,3914.9449999999997,16621.583096885814
12436.0,1,429.01,429.01,1821.4369204152251
12437.0,18,4447.41,247.07833333333332,1049.0142387543253
12438.0,2,2466.85,1233.425,5236.721366782007
