cohort_month,1,2,3,4,5,6,7,8,9,10,11,12,13
2010-12,100.0,36.53846153846153,32.35294117647059,38.34841628959276,36.199095022624434,39.81900452488688,36.199095022624434,34.841628959276015,35.294117647058826,39.47963800904977,37.33031674208145,50.2262443438914,26.47058823529412
2011-01,100.0,21.875,26.682692307692307,22.83653846153846,31.73076923076923,28.846153846153843,24.759615384615387,24.03846153846154,29.567307692307693,32.69230769230769,36.53846153846153,11.778846153846153,0.0
2011-02,100.0,18.684210526315788,18.684210526315788,28.68421052631579,27.105263157894736,24.47368421052632,25.526315789473685,27.368421052631582,24.736842105263158,30.526315789473685,6.842105263157896,0.0,0.0
2011-03,100.0,14.823008849557523,25.221238938053098,19.911504424778762,22.345132743362832,16.8141592920354,26.769911504424783,23.008849557522122,27.876106194690266,8.628318584070795,0.0,0.0,0.0
2011-04,100.0,21.0,20.333333333333332,21.0,19.666666666666664,22.666666666666664,21.666666666666668,26.0,7.333333333333333,0.0,0.0,0.0,0.0
2011-05,100.0,19.014084507042252,17.253521126760564,17.253521126760564,20.774647887323944,23.239436619718308,26.408450704225352,9.507042253521126,0.0,0.0,0.0,0.0,0.0
2011-06,100.0,17.355371900826448,15.702479338842975,26.446280991735538,23.140495867768596,33.057851239669425,9.50413223140496,0.0,0.0,0.0,0.0,0.0,0.0
2011-07,100.0,17.647058823529413,20.32085561497326,22.459893048128343,27.27272727272727,11.229946524064172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08,100.0,20.118343195266274,24.2603550295858,24.2603550295858,12.42603550295858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09,100.0,23.411371237458194,30.100334448160538,11.37123745819398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10,100.0,23.52941176470588,11.484593837535014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11,100.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
